Категория;Наименование;Цена;Ссылка
Овощи и фрукты;Основа для напитка NORDIC FRESH Яблоко и киви, 70г;114.99 ₽;https://lenta.com/product/741142-osnova-dlya-napitka-yabloko-i-kivi-s-yablokom-i-kivi-zam-rossiya-70g/
Овощи и фрукты;Набор свежей зелени укроп и петрушка, 40г;69.99 ₽;https://lenta.com/product/691791-nabor-svezhejj-zeleni-ukroppetrushka-rossiya-40g/
Овощи и фрукты;Огурцы ЛЕНТА FRESH корнишоны, 300г;174.99 ₽;https://lenta.com/product/520055-ogurcy-kornishony-rossiya-300g/
Овощи и фрукты;Основа для напитка NORDIC FRESH Тархун и яблоко, с соком яблока и эстрагоном, 60г;114.99 ₽;https://lenta.com/product/741143-osnova-dlya-napitka-tarhun-i-yabloko-s-sokom-yabloka-i-estragonom-zam-rossiya-60g/
Овощи и фрукты;Смесь фруктово-ореховая Экзотик сладкая, весовая;162.50 ₽;https://lenta.com/product/99679-smes-ekzotik-fruktovo-orehovaya-sladkaya-ves/
Овощи и фрукты;Грейпфруты, весовые;111.99 ₽;https://lenta.com/product/11461-grejjpfruty-ves/
Овощи и фрукты;Авокадо крупное АРТФРУТ Хасс Премиум, шт;249.99 ₽;https://lenta.com/product/901167-avokado-hass-rte-krupnoe-premium-kolumbiya-1sht/
Овощи и фрукты;Коктейль ТВЕРДЫЙ ЗНАК сладкий орехи, изюм, 250г;399.99 ₽;https://lenta.com/product/177089-koktejjl-sladkijj-orehi-izyum-rossiya-250g/
Овощи и фрукты;Томаты черри ФЛАМЕНКО красные, 250г;274.99 ₽;https://lenta.com/product/720789-tomaty-cherri-krasnye-250g/
Овощи и фрукты;Шампиньоны ЛЕНТА FRESH, 400г;169.99 ₽;https://lenta.com/product/558630-griby-shampinony-svezhie-400g/
Овощи и фрукты;Орех грецкий МААГ, 150г;183.99 ₽;https://lenta.com/product/344860-oreh-greckijj-yadra-rossiya-150g/
Овощи и фрукты;Морковь мытая, 1кг;94.99 ₽;https://lenta.com/product/13021-morkov-mytaya-pe-1000g/
Овощи и фрукты;Кешью SMAKKY жареный, лук со сметаной, 150г;249.99 ₽;https://lenta.com/product/703076-keshyu-zharenyjj-luk-so-smetanojj-rossiya-150g/
Овощи и фрукты;Перец микс, 2шт;179.99 ₽;https://lenta.com/product/636793-perec-miks-2sht/
Овощи и фрукты;Кинза свежая, 100г;159.99 ₽;https://lenta.com/product/582230-kinza-svezhaya-up-100g/
Овощи и фрукты;Грибы варено-соленые ФЕРМА 1913 Ассорти, 285г;299.99 ₽;https://lenta.com/product/463003-griby-assorti-vareno-solen-rossiya-285g/
Овощи и фрукты;Фасоль молодая замороженная И ЗИМОЙ И ЛЕТОМ Европейская, 400г;199.99 ₽;https://lenta.com/product/556153-fasol-evropejjskaya-molodaya-zam-rossiya-400g/
Овощи и фрукты;Рамбутан, 150г;369.99 ₽;https://lenta.com/product/278306-rambutan-150g/
Овощи и фрукты;Финики СЕМУШКА Королевские, 300г;499.99 ₽;https://lenta.com/product/897984-finiki-korolevskie-rossiya-300g/
Овощи и фрукты;Арбуз, весовой;719.94 ₽;https://lenta.com/product/60429-arbuz-ves/
Овощи и фрукты;Смесь фруктово-ореховая PREMIUM CLUB К коньяку, 170г;286.29 ₽;https://lenta.com/product/698863-smes-k-konyaku-banka-rossiya-170g/
Овощи и фрукты;Арахис в хрустящей корочке ХРУСТNUT Микс со вкусами васаби, бекон и сыр, 50г;29.99 ₽;https://lenta.com/product/773745-arahis-v-hrustyashchejj-korochke-so-vkusom-miks-vasabi-bekon-i-syr-41193348-rossiya-50g/
Овощи и фрукты;Арахис в хрустящей корочке ХРУСТNUT со вкусом сметана и лук, 50г;29.99 ₽;https://lenta.com/product/773902-arahis-v-hrustyashchejj-korochke-so-vkusom-smetana-i-luk-41193345-rossiya-50g/
Овощи и фрукты;Миндаль SMAKKY жареный, чеснок и имбирь, 150г;149.99 ₽;https://lenta.com/product/703118-mindal-zharenyjj-chesnok-i-imbir-rossiya-150g/
Овощи и фрукты;Лонган АРТФРУТ, 250г;329.99 ₽;https://lenta.com/product/640203-longan-250g/
Овощи и фрукты;Томаты черри ФЛАМЕНКО, 450г;499.99 ₽;https://lenta.com/product/730913-tomaty-cherri-450g/
Овощи и фрукты;Томаты соленые ЛЕНТА красные, 1кг;129.99 ₽;https://lenta.com/product/720674-tomaty-solenye-krasnye-rossiya-1000g/
Овощи и фрукты;Фундук DOLCE ALBERO жареный, с медом и кунжутом, 120г;199.99 ₽;https://lenta.com/product/726652-funduk-zharenyjj-s-medom-i-kunzhutom-rossiya-120g/
Овощи и фрукты;Орех грецкий ЗВЕЗДОЧКИ, 200г;209.99 ₽;https://lenta.com/product/317444-oreh-greckijj-rossiya-200g/
Овощи и фрукты;Смесь фруктово-ореховая PREMIUM CLUB К белому вину, изюм, цукаты и орехи в белой глазури, 200г;299.99 ₽;https://lenta.com/product/690328-smes-izyum-cukaty-orehi-v-belojj-glazuri-k-belomu-vinu-banka-rossiya-200g/
Овощи и фрукты;Шампиньоны мини ЛЕНТА FRESH Королевские, 250г;154.99 ₽;https://lenta.com/product/892916-griby-korolevskie-mini-lenta-fresh-250g/
Овощи и фрукты;Джекфрут красный, 150г;499.99 ₽;https://lenta.com/product/888785-dzhekfrut-krasnyjj-150g/
Овощи и фрукты;Морковь ЛЕНТА По-корейски, 300г;79.99 ₽;https://lenta.com/product/447180-morkov-po-korejjski-rossiya-300g/
Овощи и фрукты;Голубика АРТФРУТ, 125г;209.99 ₽;https://lenta.com/product/526671-golubika-125g/
Овощи и фрукты;Огурцы среднеплодные Атлет колючие, 450г;179.99 ₽;https://lenta.com/product/286180-ogurcy-sort-atlet-sredneplodnye-kolyuchie-450g/
Овощи и фрукты;Опята варено-соленые ФЕРМА 1913, 285г;289.99 ₽;https://lenta.com/product/494576-griby-opyata-vareno-solenye-rossiya-285g/
Овощи и фрукты;Фисташки DOLCE ALBERO жареные подсоленные, 150г;299.99 ₽;https://lenta.com/product/683266-fistashki-podsolennye-zharenye-rossiya-150g/
Овощи и фрукты;Физалис АРТФРУТ очищенный, 170г;299.99 ₽;https://lenta.com/product/641465-fizalis-ochishchennyjj-170g/
Овощи и фрукты;Крем-суп Тыквенный с кокосовыми сливками, 200мл;79.99 ₽;https://lenta.com/product/731307-krem-sup-tykvennyjj-s-kokos-sliv-200-ml/
Овощи и фрукты;Миндаль SMAKKY жареный, прованские травы, 150г;219.99 ₽;https://lenta.com/product/701338-mindal-zharenyjj-s-provanskimi-travami-rossiya-150g/
Овощи и фрукты;Апельсин сушеный ЛЕНТА кольца, 150г;249.99 ₽;https://lenta.com/product/865905-kolca-apelsinovye-sushenye-tailand-150g/
Овощи и фрукты;Клубника быстрозамороженная PREMIUM CLUB, 300г;129.99 ₽;https://lenta.com/product/773243-klubnika-bystrozamorozhennaya-rossiya-300g/
Овощи и фрукты;Джекфрут желтый, дольки, 150г;429.99 ₽;https://lenta.com/product/740856-dzhekfrut-zheltyjj-150g/
Овощи и фрукты;Томаты черри Сладкая ягода, 200г;269.99 ₽;https://lenta.com/product/641938-tomaty-cherri-sladkaya-yagoda-rossiya-200g/
Овощи и фрукты;Яблоки Симиренко фасованные, весовые;215.99 ₽;https://lenta.com/product/28421-yabloki-simirenko-fas-un-ves/
Овощи и фрукты;Яблоки Лебедянские, фасованные, весовые;174.99 ₽;https://lenta.com/product/895385-yabloki-lebedyanskie-fas-ves/
Овощи и фрукты;Вишня МОРОЗКО Green без косточки, 300г;269.99 ₽;https://lenta.com/product/402475-vishnya-bez-kostochki-rossiya-300g/
Овощи и фрукты;Перец красный, 2шт;169.99 ₽;https://lenta.com/product/525343-perec-krasnyjj-2sht/
Овощи и фрукты;Яблоки свежие, фасованные, весовые;107.87 ₽;https://lenta.com/product/324537-yabloko-fas-ves/
Овощи и фрукты;Авокадо ЛЕНТА FRESH Хасс, шт;109.99 ₽;https://lenta.com/product/771024-avokado-hass-1sht/
Овощи и фрукты;Манго сушеное SUN AND LIFE, 500г;549.99 ₽;https://lenta.com/product/697463-mango-sushenye-vetnam-500g/
Овощи и фрукты;Капуста цветная замороженная 365 ДНЕЙ, 400г;89.99 ₽;https://lenta.com/product/173143-kapusta-cvetnaya-zam-400g/
Овощи и фрукты;Карамбола, 1шт;279.99 ₽;https://lenta.com/product/42031-karambola-1sht/
Овощи и фрукты;Ананас АРТФРУТ спелый, шт;799.99 ₽;https://lenta.com/product/896405-ananas-spelyjj-kosta-rika-1sht/
Овощи и фрукты;Изюм Томсон Джамбо, весовой;107.50 ₽;https://lenta.com/product/453208-izyum-tomson-dzhambo-ves/
Овощи и фрукты;Огурцы соленые ЛЕНТА Корнишоны, 500г;119.99 ₽;https://lenta.com/product/723074-ogurcy-solenye-kornishony-rossiya-500g/
Овощи и фрукты;Коктейль фруктово-ореховый PREMIUM CLUB орехи и цукаты, 150г;229.99 ₽;https://lenta.com/product/687342-koktejjl-orehi-i-cukaty-kraft-stakan-rossiya-150g/
Овощи и фрукты;Мандарины ЧЕБУРАШКА, 4шт;249.99 ₽;https://lenta.com/product/883812-mandariny-turciya-4sht/
Овощи и фрукты;Набор пряной зелени укроп, петрушка, кинза, и базилик, 75г;129.99 ₽;https://lenta.com/product/691753-nabor-pryanojj-zeleni-ukrpetrkinzabazilik-rossiya-75g/
Овощи и фрукты;Миндаль DOLCE ALBERO жареный, 150г;249.99 ₽;https://lenta.com/product/687170-mindal-zharenyjj-rossiya-150g/
Овощи и фрукты;Смесь овощная МОРОЗКО Green Овощное трио, 400г;114.99 ₽;https://lenta.com/product/299369-smes-ovoshchnaya-green-ovoshchnoe-trio-zam-rossiya-400g/
Овощи и фрукты;Картофель фри WE FRY предобжаренный без панировки, 700г;219.99 ₽;https://lenta.com/product/625608-kartofel-fri-predobzharennyjj-bez-panirovki-9h9-rossiya-700g/
Овощи и фрукты;Смесь овощная 4 СЕЗОНА Гавайская, 400г;124.99 ₽;https://lenta.com/product/79599-smes-ovoshchnaya-gavajjskaya-zam-rossiya-400g/
Овощи и фрукты;Петрушка ЛЕНТА свежая, 100г;109.99 ₽;https://lenta.com/product/582210-petrushka-svezhaya-up-100g/
Овощи и фрукты;Кокос молочный питьевой, шт;269.99 ₽;https://lenta.com/product/116797-kokos-pitevojj-molochnyjj-1sht/
Овощи и фрукты;Черника СВОЙ УРОЖАЙ, 300г;234.99 ₽;https://lenta.com/product/402638-chernika-rossiya-300g/
Овощи и фрукты;Миндаль СЕМУШКА жареный соленый, ядро, 120г;329.99 ₽;https://lenta.com/product/528835-mindal-yadro-zharenyjj-solenyjj-rossiya-120g/
Овощи и фрукты;Ягодный микс АРТФРУТ Сердце, голубика и клубника, 200г;449.99 ₽;https://lenta.com/product/671227-yagodnyjj-miks-serdce-golubikaklubnika-200g/
Овощи и фрукты;Капуста квашеная БЕЛОРУЧКА Фитнес, без сахара, 1000г;204.99 ₽;https://lenta.com/product/113131-kapusta-fitnes-kvashenaya-bsahara-rossiya-1000g/
Овощи и фрукты;Киви отборное, весовое;140.00 ₽;https://lenta.com/product/685165-kivi-otbornoe-ves-yachejjka/
Овощи и фрукты;Голубика свежая, 125г;229.99 ₽;https://lenta.com/product/168863-golubika-svezhaya-125g/
Овощи и фрукты;Шампиньоны ЛЕНТА FRESH мини, 300г;139.99 ₽;https://lenta.com/product/558615-griby-shampinony-mini-300g/
Овощи и фрукты;Чеснок, 3шт;54.99 ₽;https://lenta.com/product/50757-chesnok-3sht/
Овощи и фрукты;Лук Ялтинский, весовой;100.00 ₽;https://lenta.com/product/300672-luk-yaltinskijj-ves/
Овощи и фрукты;Чернослив СЕМУШКА 150г;209.99 ₽;https://lenta.com/product/385937-chernosliv-rossiya-150g/
Овощи и фрукты;Киви Gold, весовое;300.00 ₽;https://lenta.com/product/751711-kivi-gold-ves-kitajj/
Овощи и фрукты;Томаты черри сливовидные, 200г;179.99 ₽;https://lenta.com/product/643675-tomaty-cherri-slivovidnye-200g/
Овощи и фрукты;Яблоки Кримсон Сноу, весовые;183.99 ₽;https://lenta.com/product/608977-yabloki-krimson-snou-ves/
